PHIF,SW,VSH,BVW,KLOGH,KLOGV,WELL,DEPTH
0.124321,1.0,0.4447,0.124321,5.0,0.0483,15_9-19 BT2,4077.7668
0.112171,1.0,0.3236,0.112171,98.0,0.5463,15_9-19 BT2,4077.9192
0.180021,1.0,0.1482,0.180021,100.0,97.56,15_9-19 BT2,4078.0716
0.195942,1.0,0.1161,0.195942,333.2636,270.2504,15_9-19 BT2,4078.224
0.211777,0.9781,0.0882,0.207132,795.9132,681.0194,15_9-19 BT2,4078.3764
0.209574,1.0,0.0717,0.209574,1073.8445,935.9169,15_9-19 BT2,4078.5288
0.202608,0.9962,0.0778,0.20183,833.2388,714.9498,15_9-19 BT2,4078.6812
0.191744,0.9143,0.0709,0.175304,787.3325,673.2051,15_9-19 BT2,4078.8336
0.162321,0.9214,0.0905,0.14957,304.8204,245.8299,15_9-19 BT2,4078.986
0.156284,0.8928,0.1033,0.139536,209.0964,164.7588,15_9-19 BT2,4079.1384
0.138832,0.7034,0.0983,0.097661,0.1,130.946,15_9-19 BT2,4079.2908
0.079095,0.8413,0.084,0.066542,0.1,55.7166,15_9-19 BT2,4079.4432
0.064108,1.0,0.0527,0.064108,0.1,82.7929,15_9-19 BT2,4079.5956
0.019396,1.0,0.0477,0.019396,0.1,38.4892,15_9-19 BT2,4079.748
0.107415,1.0,0.0576,0.107415,0.1,173.2796,15_9-19 BT2,4079.9004
0.19348,1.0,0.0592,0.19348,1036.1194,901.0492,15_9-19 BT2,4080.0528
0.22858,1.0,0.0614,0.22858,1889.5699,1705.235,15_9-19 BT2,4080.2052
0.22844,1.0,0.0673,0.22844,1668.061,1493.8118,15_9-19 BT2,4080.3576
0.22485,1.0,0.0568,0.22485,1937.8217,1751.4993,15_9-19 BT2,4080.51
0.230946,1.0,0.0541,0.230946,2294.6868,2095.7708,15_9-19 BT2,4080.6624
0.231153,1.0,0.0708,0.231153,1629.2515,1456.9409,15_9-19 BT2,4080.8148
0.214589,1.0,0.0719,0.214589,1173.0634,1027.9755,15_9-19 BT2,4080.9672
0.202107,1.0,0.0902,0.202107,638.4656,538.9111,15_9-19 BT2,4081.1196
0.193055,1.0,0.096,0.193055,479.0526,397.2594,15_9-19 BT2,4081.272
0.209158,1.0,0.0906,0.209158,721.0294,613.1794,15_9-19 BT2,4081.4244
0.210893,1.0,0.0858,0.210893,822.4001,705.0806,15_9-19 BT2,4081.5768
0.210711,1.0,0.0849,0.210711,835.4898,717.0004,15_9-19 BT2,4081.7292
0.221156,0.9898,0.0763,0.218895,1208.6609,1061.1234,15_9-19 BT2,4081.8816
0.22481,0.9738,0.068,0.218926,1536.3141,1368.8687,15_9-19 BT2,4082.034
0.218726,1.0,0.0833,0.218726,1001.2117,868.8551,15_9-19 BT2,4082.1864
0.210983,1.0,0.086,0.210983,820.5887,703.4319,15_9-19 BT2,4082.3388
0.202535,1.0,0.0823,0.202535,757.1146,645.8079,15_9-19 BT2,4082.4912
0.206371,1.0,0.0728,0.206371,990.8121,859.2772,15_9-19 BT2,4082.6436
0.201134,1.0,0.0874,0.201134,663.9156,561.7443,15_9-19 BT2,4082.796
0.209972,1.0,0.0767,0.209972,976.0095,845.6548,15_9-19 BT2,4082.9484
0.186888,1.0,0.0707,0.186888,721.7855,613.8622,15_9-19 BT2,4083.1008
0.203567,1.0,0.056,0.203567,1331.0193,1175.5114,15_9-19 BT2,4083.2532
0.207764,1.0,0.0685,0.207764,1111.2472,970.5613,15_9-19 BT2,4083.4056
0.207297,1.0,0.0824,0.207297,825.092,707.5309,15_9-19 BT2,4083.558
0.200297,1.0,0.0902,0.200297,617.8633,520.4681,15_9-19 BT2,4083.7104
0.201462,1.0,0.097,0.201462,547.732,457.9785,15_9-19 BT2,4083.8628
0.210949,1.0,0.0902,0.210949,751.5605,640.7795,15_9-19 BT2,4084.0152
0.222034,1.0,0.0821,0.222034,1090.1643,951.0242,15_9-19 BT2,4084.1676
0.216208,1.0,0.1314,0.216208,352.4012,286.7545,15_9-19 BT2,4084.32
0.22483,1.0,0.1197,0.22483,526.4945,439.1494,15_9-19 BT2,4084.4724
0.233858,0.9515,0.098,0.222526,974.1866,843.9781,15_9-19 BT2,4084.6248
0.244029,0.996,0.0901,0.243052,1385.6498,1226.7966,15_9-19 BT2,4084.7772
0.21318,1.0,0.1245,0.21318,384.3982,314.4709,15_9-19 BT2,4084.9296
0.192028,1.0,0.2181,0.192028,37.4711,26.5572,15_9-19 BT2,4085.082
0.218822,0.9631,0.2619,0.21075,24.7241,17.0796,15_9-19 BT2,4085.2344
0.152658,1.0,0.2923,0.152658,3.8928,2.3996,15_9-19 BT2,4085.3868
0.207357,0.9,0.3211,0.186628,5.8784,3.7168,15_9-19 BT2,4085.5392
0.211948,0.8879,0.2655,0.188183,20.2227,13.798,15_9-19 BT2,4085.6916
0.209284,0.958,0.1641,0.200499,157.5934,122.0313,15_9-19 BT2,4085.844
0.200272,1.0,0.1722,0.200272,112.9034,85.6474,15_9-19 BT2,4085.9964
0.198058,1.0,0.099,0.198058,494.0693,410.4923,15_9-19 BT2,4086.1488
0.197642,1.0,0.0789,0.197642,742.5795,632.6534,15_9-19 BT2,4086.3012
0.197212,1.0,0.1,0.197212,475.8996,394.4842,15_9-19 BT2,4086.4536
0.196782,1.0,0.1074,0.196782,404.8787,332.287,15_9-19 BT2,4086.606
0.204897,1.0,0.1025,0.204897,520.7875,434.0975,15_9-19 BT2,4086.7584
0.197995,1.0,0.1003,0.197995,479.6011,397.7423,15_9-19 BT2,4086.9108
0.192446,1.0,0.1208,0.192446,283.351,227.489,15_9-19 BT2,4087.0632
0.203396,1.0,0.1478,0.203396,198.2323,155.6855,15_9-19 BT2,4087.2156
0.201542,1.0,0.1661,0.201542,130.9497,100.2491,15_9-19 BT2,4087.368
0.203947,1.0,0.177,0.203947,109.2297,82.6919,15_9-19 BT2,4087.5204
0.211897,0.9564,0.1804,0.202649,118.0386,89.7887,15_9-19 BT2,4087.6728
0.184041,1.0,0.151,0.184041,129.9009,99.397,15_9-19 BT2,4087.8252
0.165168,1.0,0.1532,0.165168,87.6461,65.4579,15_9-19 BT2,4087.9776
0.208701,0.9849,0.1541,0.205559,191.6687,150.2186,15_9-19 BT2,4088.13
0.206637,0.9711,0.1307,0.200673,300.024,241.7253,15_9-19 BT2,4088.2824
0.176598,1.0,0.0938,0.176598,370.3861,302.3152,15_9-19 BT2,4088.4348
0.194585,0.9695,0.0785,0.188657,708.6055,601.9688,15_9-19 BT2,4088.5872
0.178691,1.0,0.0645,0.178691,705.9886,599.6089,15_9-19 BT2,4088.7396
0.181786,1.0,0.0524,0.181786,961.751,832.5451,15_9-19 BT2,4088.892
0.17888,1.0,0.0506,0.17888,945.8381,817.9286,15_9-19 BT2,4089.0444
0.177082,1.0,0.0598,0.177082,756.5358,645.2838,15_9-19 BT2,4089.1968
0.179136,1.0,0.0859,0.179136,457.3945,378.2193,15_9-19 BT2,4089.3492
0.182794,1.0,0.0897,0.182794,451.9026,373.4001,15_9-19 BT2,4089.5016
0.185608,1.0,0.0943,0.185608,432.9435,356.7907,15_9-19 BT2,4089.654
0.189876,1.0,0.0955,0.189876,456.4961,377.4307,15_9-19 BT2,4089.8064
0.185067,1.0,0.0849,0.185067,520.5426,433.8809,15_9-19 BT2,4089.9588
0.185368,1.0,0.0782,0.185368,600.9406,505.3473,15_9-19 BT2,4090.1112
0.191074,1.0,0.0853,0.191074,576.5374,483.5888,15_9-19 BT2,4090.2636
0.188366,1.0,0.085,0.188366,551.483,461.3088,15_9-19 BT2,4090.416
0.186494,1.0,0.0781,0.186494,614.9032,517.8213,15_9-19 BT2,4090.5684
0.192318,1.0,0.0835,0.192318,613.0069,516.1262,15_9-19 BT2,4090.7208
0.192845,0.9826,0.0967,0.18949,470.3483,389.6007,15_9-19 BT2,4090.8732
0.187439,1.0,0.096,0.187439,432.3049,356.232,15_9-19 BT2,4091.0256
0.184029,1.0,0.1198,0.184029,247.6711,197.2009,15_9-19 BT2,4091.178
0.175661,1.0,0.1839,0.175661,56.3003,40.916,15_9-19 BT2,4091.3304
0.185685,1.0,0.2341,0.185685,23.9224,16.4922,15_9-19 BT2,4091.4828
0.186284,0.9458,0.236,0.176196,23.239,15.9925,15_9-19 BT2,4091.6352
0.201414,0.9183,0.2361,0.184964,30.6227,21.4352,15_9-19 BT2,4091.7876
0.188555,1.0,0.2144,0.188555,37.9133,26.8901,15_9-19 BT2,4091.94
0.17087,1.0,0.2237,0.17087,22.5547,15.493,15_9-19 BT2,4092.0924
0.162297,1.0,0.1664,0.162297,63.1647,46.2313,15_9-19 BT2,4092.2448
0.189585,1.0,0.1177,0.189585,286.6426,230.2956,15_9-19 BT2,4092.3972
0.203728,0.9365,0.1239,0.190796,327.082,264.9317,15_9-19 BT2,4092.5496
0.201449,0.9789,0.1352,0.197196,248.2011,197.649,15_9-19 BT2,4092.702
0.196149,0.9899,0.1303,0.194166,249.0213,198.3424,15_9-19 BT2,4092.8544
0.19306,0.9912,0.1093,0.191359,363.6071,296.4444,15_9-19 BT2,4093.0068
0.195946,1.0,0.1057,0.195946,412.8905,339.2718,15_9-19 BT2,4093.1592
0.187674,1.0,0.1121,0.187674,310.8601,251.004,15_9-19 BT2,4093.3116
0.193034,0.9867,0.1096,0.190473,361.1103,294.2837,15_9-19 BT2,4093.464
0.200605,0.9605,0.0909,0.192674,611.7495,515.0023,15_9-19 BT2,4093.6164
0.185853,0.9415,0.0857,0.174981,519.4448,432.9095,15_9-19 BT2,4093.7688
0.171376,0.9701,0.0889,0.166258,372.6953,304.3165,15_9-19 BT2,4093.9212
0.164573,1.0,0.0998,0.164573,261.8291,209.1893,15_9-19 BT2,4094.0736
0.174521,0.9743,0.1134,0.17003,237.6103,188.7074,15_9-19 BT2,4094.226
0.153659,1.0,0.0805,0.153659,319.4388,258.364,15_9-19 BT2,4094.3784
0.086276,1.0,0.214,0.086276,0.1,3.668,15_9-19 BT2,4094.5308
0.178075,0.9768,0.2925,0.17395,0.1,3.9273,15_9-19 BT2,4094.6832
0.179302,1.0,0.2595,0.179302,1.0,8.3202,15_9-19 BT2,4094.8356
0.183551,0.9877,0.3714,0.181288,1.3372,0.7717,15_9-19 BT2,4094.988
0.202253,0.9177,0.3841,0.185604,1.4496,0.8408,15_9-19 BT2,4095.1404
0.1908,0.9583,0.4382,0.182843,0.3827,0.2045,15_9-19 BT2,4095.2928
0.217659,0.8658,0.4492,0.188442,0.4999,0.2715,15_9-19 BT2,4095.4452
0.21428,0.8812,0.4746,0.188817,0.2773,0.1452,15_9-19 BT2,4095.5976
0.236311,0.879,0.4879,0.207724,0.3159,0.1668,15_9-19 BT2,4095.75
